"sub","music","isi","type","residuals"
" c37","fastmusic",0.5,"w",39.0740740740741
" c37","fastmusic",0.5,"w",-48.9259259259259
" c37","fastmusic",0.5,"w",105.074074074074
" c37","fastmusic",0.5,"w",-33.9259259259259
" c37","fastmusic",0.5,"w",-24.9259259259259
" c37","fastmusic",0.5,"n",50.0740740740741
" c37","fastmusic",0.5,"a",-70.9259259259259
" c37","fastmusic",0.5,"n",-13.9259259259259
" c37","fastmusic",0.5,"n",58.0740740740741
" c37","fastmusic",0.5,"a",58.0740740740741
" c37","fastmusic",0.5,"w",4.07407407407408
" c37","fastmusic",0.5,"a",-75.9259259259259
" c37","fastmusic",0.5,"w",-34.9259259259259
" c37","fastmusic",0.5,"a",-2.92592592592592
" c37","fastmusic",0.5,"w",-20.9259259259259
" c37","fastmusic",0.5,"w",35.0740740740741
" c37","fastmusic",0.5,"n",-37.9259259259259
" c37","fastmusic",0.5,"a",-29.9259259259259
" c37","fastmusic",0.5,"n",60.0740740740741
" c37","fastmusic",0.5,"w",-43.9259259259259
" c37","fastmusic",0.5,"n",20.0740740740741
" c37","fastmusic",0.5,"n",11.0740740740741
" c37","fastmusic",0.5,"a",-32.9259259259259
" c37","fastmusic",0.5,"a",5.07407407407408
" c37","fastmusic",0.5,"n",100.074074074074
" c37","fastmusic",0.5,"n",-110.925925925926
" c37","fastmusic",0.5,"n",37.0740740740741
" c37","fastmusic",1,"w",-207.481481481481
" c37","fastmusic",1,"w",77.5185185185185
" c37","fastmusic",1,"a",32.5185185185185
" c37","fastmusic",1,"a",2.51851851851853
" c37","fastmusic",1,"n",106.518518518519
" c37","fastmusic",1,"a",12.5185185185185
" c37","fastmusic",1,"w",164.518518518519
" c37","fastmusic",1,"w",-100.481481481481
" c37","fastmusic",1,"w",-129.481481481481
" c37","fastmusic",1,"n",-180.481481481481
" c37","fastmusic",1,"a",-28.4814814814815
" c37","fastmusic",1,"n",15.5185185185185
" c37","fastmusic",1,"a",-107.481481481481
" c37","fastmusic",1,"n",-119.481481481481
" c37","fastmusic",1,"n",78.5185185185185
" c37","fastmusic",1,"w",-5.48148148148147
" c37","fastmusic",1,"n",25.5185185185185
" c37","fastmusic",1,"n",43.5185185185185
" c37","fastmusic",1,"n",57.5185185185185
" c37","fastmusic",1,"w",-62.4814814814815
" c37","fastmusic",1,"w",118.518518518519
" c37","fastmusic",1,"a",6.51851851851853
" c37","fastmusic",1,"n",114.518518518519
" c37","fastmusic",1,"n",218.518518518519
" c37","fastmusic",1,"a",-130.481481481481
" c37","fastmusic",1,"a",-15.4814814814815
" c37","fastmusic",1,"w",12.5185185185185
